"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.947002080E-1,1.447063684E-2,-3.105461597E-2,3.881835938E-2
9.047117190E-1,9.369790554E-3,-5.638122559E-3,4.302120209E-2
9.147315100E-1,1.798927784E-3,-6.338477135E-3,1.420402527E-2
9.247513540E-1,-1.046335697E-2,2.829074860E-2,5.884265900E-2
9.347930730E-1,-2.716767788E-2,5.082654953E-2,3.920459747E-2
9.448129160E-1,7.545351982E-4,6.911313534E-2,-4.360198975E-2
9.548327600E-1,9.331285954E-3,5.244743824E-2,-5.903720856E-2
9.648577600E-1,1.577746868E-2,3.287744522E-2,-3.425979614E-2
9.748776040E-1,3.642010689E-2,4.125154018E-2,-5.246162415E-3
9.848973960E-1,2.190327644E-2,2.770996094E-2,2.061843872E-3
9.948935410E-1,1.258790493E-2,4.719972610E-3,-4.891395569E-3
1.004913333E0,1.260566711E-2,3.500342369E-3,1.888465881E-2
1.014933177E0,2.999663353E-3,-6.909847260E-3,3.992176056E-2
1.024983177E0,-1.124638319E-2,-5.134344101E-4,4.649257660E-2
1.035002969E0,9.904980659E-3,8.796334267E-3,2.476882935E-2
1.045022812E0,1.692152023E-2,-5.220890045E-3,-1.065444946E-2
1.055034739E0,-3.875374794E-3,-1.884543896E-2,6.362915039E-3
1.065054531E0,1.629650593E-3,-1.100385189E-2,2.781486511E-2
1.075074375E0,1.416927576E-2,-2.648162842E-2,1.599597931E-2
1.085079271E0,7.189095020E-3,-4.573869705E-2,2.065658569E-3
1.095099114E0,9.318470955E-3,-3.610157967E-2,-2.202987671E-3
1.105118906E0,-5.559444427E-3,-2.919912338E-2,1.237869263E-2
1.115148906E0,-1.773238182E-2,-2.543318272E-2,3.105163574E-3
1.125168698E0,-1.787281036E-2,-2.716720104E-2,1.509475708E-2
1.135188541E0,-1.341134310E-2,-1.274979115E-2,9.384155273E-4
1.145182135E0,-8.995473385E-3,-2.226245403E-2,-8.288383484E-3
1.155201927E0,1.190447807E-2,-1.522099972E-2,-2.442836761E-2
1.165221719E0,1.602143049E-2,-6.197214127E-3,-3.090953827E-2
1.175245677E0,8.665204048E-3,4.739761353E-4,-3.017711639E-2
1.185265469E0,4.146695137E-3,-4.480719566E-3,-1.763153076E-2
1.195285260E0,6.572365761E-3,-7.159948349E-3,-6.179809570E-4
1.205321562E0,-7.768094540E-3,-1.204919815E-2,2.317142487E-2
1.215341406E0,-2.971231937E-3,-9.804010391E-3,2.067184448E-2
1.225361198E0,6.596684456E-3,-9.943842888E-3,1.743316650E-3
1.235357500E0,-2.856373787E-3,-5.390882492E-3,1.137924194E-2
1.245377344E0,1.143062115E-2,3.960847855E-3,-5.021095276E-3
1.255397187E0,4.272103310E-3,8.509635925E-3,-2.349472046E-2
1.265451614E0,-1.458364725E-2,1.094269753E-2,-1.337337494E-2
1.275471406E0,-2.606242895E-2,1.327478886E-2,2.011585236E-2
1.285491250E0,-2.572679520E-2,1.535856724E-2,1.769733429E-2
1.295486666E0,-1.846927404E-2,1.273477077E-2,3.544807434E-3
1.305506458E0,-2.055674791E-2,7.812619209E-3,-3.294944763E-3
1.315526250E0,7.976889610E-4,4.750132561E-3,2.521514893E-2
1.325551875E0,-1.798391342E-3,-1.479196548E-2,2.969741821E-2
1.335571719E0,3.778338432E-4,-7.683157921E-3,1.768016815E-2
1.345591510E0,2.684950829E-3,6.775736809E-3,-8.202552795E-3
1.355612500E0,9.765386581E-3,-1.652038097E-2,-3.021240234E-3
1.365632291E0,1.243144274E-2,-2.985692024E-2,-1.436042786E-2
1.375652135E0,1.063472033E-2,-1.010406017E-2,-3.962898254E-2
1.385647239E0,1.137447357E-2,-1.213347912E-2,-9.307861328E-4
1.395667031E0,7.259964943E-3,-1.920199394E-2,8.816719055E-3
1.405686875E0,2.892196178E-3,-2.757668495E-3,1.600933075E-2
1.415739844E0,-4.014015198E-3,-2.220547199E-2,8.902549744E-3
1.425759635E0,1.019597054E-2,-3.433334827E-2,4.248619080E-3
1.435779479E0,-1.799166203E-3,-3.271675110E-2,2.784633636E-2
1.445765364E0,7.318615913E-3,-2.446854115E-2,6.746387482E-2
1.455785156E0,1.129788160E-2,-1.844215393E-2,5.464172363E-2
1.465804948E0,1.162111759E-3,-1.416230202E-2,-1.673126221E-2
1.475846146E0,5.578339100E-3,-1.803159714E-3,-3.025722504E-2
1.485865989E0,1.506817341E-2,-1.208066940E-3,-1.054286957E-2
1.495885781E0,-3.838837147E-3,-1.542520523E-2,8.759498596E-3
1.505927448E0,-1.880586147E-3,-1.409804821E-2,6.993007660E-2
1.515947291E0,1.888030767E-2,-6.299018860E-3,2.641963959E-2
1.525967083E0,1.466053724E-2,-2.115249634E-3,-4.908943176E-2
1.535977708E0,-3.107130527E-3,1.357936859E-2,-9.949016571E-2
1.545997552E0,1.631128788E-2,2.040064335E-2,-9.249496460E-2
1.556017344E0,4.104542732E-2,6.898999214E-3,2.712535858E-2
1.566020937E0,5.252391100E-2,-1.274025440E-2,9.738731384E-2
1.576040677E0,3.373086452E-2,-2.287125587E-2,-2.892398834E-2
1.586060416E0,-1.385444403E-2,-2.269852161E-2,-1.176271439E-1
1.596096719E0,-3.365951777E-2,-4.110562801E-2,-1.199932098E-1
1.606116458E0,-3.423750401E-2,-4.110336304E-2,-3.530120850E-2
